#,Competición,País,Gastos_EUR,Altas,Ingresos_EUR,Bajas,Balance_EUR
1,Premier League,Inglaterra,13040000000,1578,6880000000,1578,-6159210000
2,Serie A,Italia,4870000000,3063,4430000000,2990,-447250000
3,Ligue 1,Francia,3610000000,1475,3990000000,1648,381500000
4,Bundesliga,Alemania,3220000000,1299,3530000000,1358,311570000
5,LaLiga,España,2550000000,1361,2660000000,1493,108780000
6,Saudi Pro League,Arabia Saudita,2410000000,1417,419380000,1608,-1994850000
7,Campeonato Brasileiro Série A,Brasil,1470000000,2356,1750000000,2668,272070000
8,Liga Portugal,Portugal,1220000000,1606,2160000000,1709,943280000
9,Championship,Inglaterra,1210000000,2024,1950000000,2169,736350000
10,Süper Lig,Turquía,1050000000,2376,678530000,2576,-366840000
11,Major League Soccer,Estados Unidos,972090000,1712,637940000,1834,-334150000
12,Eredivisie,Países Bajos,796630000,1171,1590000000,1324,792250000
13,Liga MX Apertura,México,758110000,1173,542720000,1261,-215380000
14,Premier Liga,Rusia,693450000,1355,511980000,1394,-181480000
15,Jupiler Pro League,Bélgica,659210000,1157,1440000000,1276,781720000
16,Qatar Stars League,Catar,386040000,802,24520000,813,-361520000
17,Liga Profesional de Fútbol (- 23/24),Argentina,328230000,1679,770070000,2009,441840000
18,Serie B,Italia,328040000,2674,458080000,2784,130040000
19,Super League 1,Grecia,257050000,1253,273810000,1352,16760000
20,Scottish Premiership,Escocia,244390000,1095,275890000,1147,31500000
