Pos,Club,Gastos (€),Altas (#),Ingresos (€),Bajas (#),Balance (€)
1,Chelsea FC,"630,25 mill.",28,"67,86 mill.",25,"-562,39 mill."
2,Manchester United,"243,15 mill.",24,"23,65 mill.",19,"-219,50 mill."
3,Nottingham Forest,"198,35 mill.",42,"5,00 mill.",26,"-193,35 mill."
4,West Ham United,"196,60 mill.",12,"21,55 mill.",13,"-175,05 mill."
5,Newcastle United,"189,10 mill.",14,"14,06 mill.",12,"-175,04 mill."
6,Arsenal FC,"186,40 mill.",25,"23,80 mill.",18,"-162,60 mill."
7,Tottenham Hotspur,"181,70 mill.",15,"38,75 mill.",14,"-142,95 mill."
8,Wolverhampton Wanderers,"179,51 mill.",31,"64,87 mill.",27,"-114,64 mill."
9,Leeds United,"163,89 mill.",24,"114,50 mill.",19,"-49,39 mill."
10,Manchester City,"155,00 mill.",29,"162,17 mill.",24,"7,17 mill."
11,Southampton FC,"154,21 mill.",21,"5,50 mill.",14,"-148,71 mill."
12,Liverpool FC,"140,90 mill.",10,"80,10 mill.",13,"-60,80 mill."
13,Aston Villa,"113,00 mill.",23,"54,00 mill.",22,"-59,00 mill."
14,AFC Bournemouth,"93,40 mill.",17,0,13,"-93,40 mill."
15,Everton FC,"83,07 mill.",19,"103,60 mill.",21,"20,53 mill."
16,Fulham FC,"76,10 mill.",20,"25,40 mill.",21,"-50,70 mill."
17,Brighton & Hove Albion,"55,70 mill.",21,"138,40 mill.",23,"82,70 mill."
18,Brentford FC,"49,25 mill.",23,"3,60 mill.",21,"-45,65 mill."
19,Leicester City,"49,00 mill.",10,"81,40 mill.",9,"32,40 mill."
20,Crystal Palace,"46,60 mill.",15,"5,46 mill.",13,"-41,15 mill."
